timestamp,latitude,longitude,sog,cog,heel,trim,Tack
2025-11-23T09:34:59.065-0500,28.385211199999997,-80.638176,3.7,220.8,-21.5,5.5,S
2025-11-23T09:34:59.556-0500,28.385202499999998,-80.6381813,4.1,217.9,-20.7,5.6,S
2025-11-23T09:35:00.060-0500,28.385193200000000,-80.6381865,4.3,217.3,-17.4,8.8,S
2025-11-23T09:35:00.501-0500,28.385185399999997,-80.6381915,4.5,217.8,-15.8,8.2,S
2025-11-23T09:35:01.066-0500,28.385172399999998,-80.6381996,5,224.3,-15.8,4.9,S
2025-11-23T09:35:01.556-0500,28.385162299999998,-80.6382072,5.3,231.3,-19.9,5.2,S
2025-11-23T09:35:02.071-0500,28.385153899999999,-80.6382158,5.1,236.3,-17.3,6.2,S
2025-11-23T09:35:02.556-0500,28.385145800000000,-80.6382252,5,236.9,-13.1,6.2,S
2025-11-23T09:35:03.082-0500,28.385137999999998,-80.6382347,4.9,237.4,-12.1,6.6,S
2025-11-23T09:35:03.557-0500,28.385129899999999,-80.6382444,5,239.3,-12.2,7.3,S
2025-11-23T09:35:04.082-0500,28.385122899999999,-80.6382542,5,240.7,-8.9,5.9,S
2025-11-23T09:35:04.558-0500,28.385115599999999,-80.6382639,4.9,241.7,-9.6,5.4,S
2025-11-23T09:35:05.060-0500,28.385108400000000,-80.638274,4.9,243.9,-8.3,3.9,S
2025-11-23T09:35:05.556-0500,28.385102199999999,-80.6382841,4.8,242.9,-0.1,7.5,S
2025-11-23T09:35:06.062-0500,28.385095000000000,-80.6382939,4.8,244.1,-4,4.7,S
2025-11-23T09:35:06.546-0500,28.385088199999998,-80.6383039,4.9,243.2,-3.5,6.2,S
2025-11-23T09:35:07.069-0500,28.385081300000000,-80.6383136,4.8,246.1,-4.7,6.4,S
2025-11-23T09:35:07.556-0500,28.385074999999997,-80.6383237,4.7,246.3,-4.5,4.5,S
2025-11-23T09:35:08.070-0500,28.385068600000000,-80.6383336,4.7,247.7,-4.1,5.1,S
2025-11-23T09:35:08.556-0500,28.385062899999998,-80.6383438,4.7,247.9,-5.7,4.6,S
2025-11-23T09:35:09.081-0500,28.385057199999999,-80.6383536,4.5,246.8,-2,6.9,S
